country_iso3,sector,ggodelta,fd,pdggo
GBR,Inland Transport,-59564,34507.128505,-2.2315028713880536
GBR,Water Transport,-4589,2894.7460528299994,-2.2314240983472033
GBR,Air Transport,-55991,41167.178989,-2.2310527996103575
GBR,Transport Services,-9602,5360.0160015,-2.228449827951952
GBR,Communications,-62280,35865.17113,-2.2278445546738026
GBR,Financial Services,-255499,154286.117279307,-2.2273742808734998
GBR,Real Estate,-350682,225062.46197919,-2.2269785055790807
GBR,Business Services,-37573,26473.281,-2.2264685326312508
GBR,Public Services,-373179,205908.27409,-2.226292496286653
GBR,Education,-201698,142865.22123,-2.226227320978573
GBR,Health,-658385,324259.52888,-2.224701011321998
GBR,Other Services,-204077,124565.1991,-2.222273771203596
GBR,Private Households,-11060,11215.924410819998,-2.221802142877124
CAN,Agriculture,-27641,12707.078691379998,-2.2216794617342024
CAN,Mining,-6419,5023.2349222144,-2.221673054953042
CAN,Food,-143713,62645.321662572,-2.2215169147016236
CAN,Textiles,-31150,15767.880236784002,-2.2214710191802474
CAN,Leather,-6454,3111.246691294255,-2.221225153999918
CAN,Wood,-2673,1159.10531804664,-2.2211080526621676
CAN,Paper,-20130,9874.252018,-2.217021891831248
CAN,Fuel,-40838,19062.101456423,-2.216590888024402
CAN,Chemicals,-29392,13508.182231592,-2.216354514027704
CAN,Plastics,-9565,4217.882177419199,-2.215448082801166
CAN,Minerals,-3816,1897.89239791464,-2.214650062971825
CAN,Metals,-8635,4114.644884382,-2.2127384549413063
CAN,Machinery,-16836,7644.613233319,-2.211955528857927
CAN,Electricals,-28975,14017.009596836,-2.210886073201329
CAN,Vehicles,-124291,47665.6802108224,-2.209272307153771
CAN,Manufacturing,-24886,12224.81732494,-2.2082771244760795
CAN,Utilities,-23474,16477.381953813998,-2.205843241994975
CAN,Construction,-417,211.372535784,-2.2053245009327878
CAN,Vehicle Trade,-4783,3129.10805054,-2.204951357964813
CAN,Wholesale Trade,-49103,29039.99275914,-2.2041129883510906
CAN,Retail Trade,-74280,47640.72140554,-2.203080976894854
CAN,Hospitality,-82745,50951.414868959,-2.2026931952828694
CAN,Inland Transport,-34002,19966.6005266,-2.202416966050669
CAN,Water Transport,-2392,1278.458101018573,-2.20233509350354
CAN,Air Transport,-15586,8445.521130764,-2.201263193974249
CAN,Transport Services,-8666,5177.567433,-2.2005935496078113
CAN,Communications,-26988,18868.5075496122,-2.2001817787628397
CAN,Financial Services,-145463,97018.840445167,-2.1991159653721435
CAN,Real Estate,-163896,120122.65566448601,-2.198820901997718
CAN,Business Services,-24748,16159.197429999998,-2.198789119137686
CAN,Public Services,-335701,184989.64998,-2.1982942996313235
CAN,Education,-103776,78279.30185,-2.1967357834053587
CAN,Health,-112905,76152.3576,-2.1967259909738672
CAN,Other Services,-113646,68996.1877514,-2.193875365453358
CAN,Private Households,-1860,1859.8570033,-2.1926676745746345
KOR,Agriculture,-25003,12711.9791166,-2.192155602750309
KOR,Mining,-277,97.186955385,-2.1918635042508
KOR,Food,-98516,37628.674400131,-2.1902747036358257
KOR,Textiles,-37807,14455.867782491,-2.18957540231141
