country_iso3,sector,ggodelta
AUS,Chemicals,-27193
AUS,Plastics,-5582
AUS,Minerals,-3384
AUS,Metals,-7014
AUS,Machinery,-9372
AUS,Electricals,-12147
AUS,Vehicles,-32035
AUS,Manufacturing,-17267
AUS,Utilities,-28008
AUS,Construction,-11790
AUS,Vehicle Trade,-33101
AUS,Wholesale Trade,-83000
AUS,Retail Trade,-50697
AUS,Hospitality,-61302
AUS,Inland Transport,-24274
AUS,Water Transport,-932
AUS,Air Transport,-11134
AUS,Transport Services,-14837
AUS,Communications,-24307
AUS,Financial Services,-71108
AUS,Real Estate,-127977
AUS,Business Services,-21243
AUS,Public Services,-120385
AUS,Education,-64635
AUS,Health,-113179
AUS,Other Services,-94498
AUS,Private Households,0
LVA,Agriculture,-2911
LVA,Mining,-174
LVA,Food,-5673
LVA,Textiles,-1116
LVA,Leather,-246
LVA,Wood,-396
LVA,Paper,-342
LVA,Fuel,-289
LVA,Chemicals,-703
LVA,Plastics,-119
LVA,Minerals,-78
LVA,Metals,-182
LVA,Machinery,-207
LVA,Electricals,-163
LVA,Vehicles,-538
LVA,Manufacturing,-424
LVA,Utilities,-2418
LVA,Construction,-606
LVA,Vehicle Trade,-845
LVA,Wholesale Trade,-2638
LVA,Retail Trade,-1836
LVA,Hospitality,-1686
LVA,Inland Transport,-1634
LVA,Water Transport,-2
LVA,Air Transport,-250
LVA,Transport Services,-123
LVA,Communications,-544
LVA,Financial Services,-1767
LVA,Real Estate,-4062
LVA,Business Services,-316
LVA,Public Services,-5513
LVA,Education,-2617
LVA,Health,-2209
LVA,Other Services,-3615
LVA,Private Households,0
IRL,Agriculture,-5164
IRL,Mining,-535
IRL,Food,-17518
IRL,Textiles,-4969
IRL,Leather,-781
IRL,Wood,-308
IRL,Paper,-8150
IRL,Fuel,-5399
IRL,Chemicals,-9961
IRL,Plastics,-2029
IRL,Minerals,-577
IRL,Metals,-1284
IRL,Machinery,-1517
IRL,Electricals,-5286
IRL,Vehicles,-7190
IRL,Manufacturing,-2540
IRL,Utilities,-5074
IRL,Construction,-787
IRL,Vehicle Trade,-2850
IRL,Wholesale Trade,-8420
IRL,Retail Trade,-11653
IRL,Hospitality,-10837
IRL,Inland Transport,-5800
IRL,Water Transport,-349
IRL,Air Transport,-2024
IRL,Transport Services,-4687
IRL,Communications,-7337
IRL,Financial Services,-7781
IRL,Real Estate,-40480
IRL,Business Services,-2252
IRL,Public Services,-23087
IRL,Education,-17513
IRL,Health,-45903
IRL,Other Services,-11282
IRL,Private Households,-290
DNK,Agriculture,-7780
DNK,Mining,-148
DNK,Food,-24050
DNK,Textiles,-3939
DNK,Leather,-956
DNK,Wood,-648
DNK,Paper,-4813
DNK,Fuel,-9242
DNK,Chemicals,-6110
DNK,Plastics,-1467
DNK,Minerals,-884
DNK,Metals,-1612
DNK,Machinery,-3078
DNK,Electricals,-7055
DNK,Vehicles,-8554
DNK,Manufacturing,-3993
DNK,Utilities,-8674
DNK,Construction,-4338
DNK,Vehicle Trade,-7289
DNK,Wholesale Trade,-21747
DNK,Retail Trade,-10887
DNK,Hospitality,-13103
DNK,Inland Transport,-2951
DNK,Water Transport,-271
DNK,Air Transport,-175
DNK,Transport Services,-1189
DNK,Communications,-4505
DNK,Financial Services,-17712
DNK,Real Estate,-47476
DNK,Business Services,-5819
DNK,Public Services,-38919
DNK,Education,-29648
DNK,Health,-66399
DNK,Other Services,-19261
DNK,Private Households,-438
MLT,Agriculture,-575
MLT,Mining,-3
MLT,Food,-1565
MLT,Textiles,-366
MLT,Leather,-86
MLT,Wood,-59
MLT,Paper,-142
MLT,Fuel,-126
MLT,Chemicals,-348
MLT,Plastics,-10
MLT,Minerals,-106
MLT,Metals,-270
MLT,Machinery,-77
MLT,Electricals,-338
MLT,Vehicles,-707
MLT,Manufacturing,-324
MLT,Utilities,-288
MLT,Construction,-135
MLT,Vehicle Trade,-159
MLT,Wholesale Trade,-468
MLT,Retail Trade,-286
MLT,Hospitality,-318
MLT,Inland Transport,-64
MLT,Water Transport,-10
MLT,Air Transport,-25
MLT,Transport Services,-112
MLT,Communications,-262
MLT,Financial Services,-246
MLT,Real Estate,-730
MLT,Business Services,-40
MLT,Public Services,-1015
MLT,Education,-509
MLT,Health,-937
MLT,Other Services,-2214
MLT,Private Households,-23
FIN,Agriculture,-5716
FIN,Mining,-57
FIN,Food,-24180
FIN,Textiles,-4956
FIN,Leather,-1007
FIN,Wood,-230
FIN,Paper,-6227
FIN,Fuel,-7260
FIN,Chemicals,-7932
FIN,Plastics,-1366
FIN,Minerals,-726
FIN,Metals,-1584
FIN,Machinery,-4212
FIN,Electricals,-8120
FIN,Vehicles,-7532
FIN,Manufacturing,-4215
FIN,Utilities,-4538
FIN,Construction,-1182
FIN,Vehicle Trade,-5586
FIN,Wholesale Trade,-14060
FIN,Retail Trade,-9467
FIN,Hospitality,-11863
FIN,Inland Transport,-4447
FIN,Water Transport,-1764
FIN,Air Transport,-1756
FIN,Transport Services,-9847
FIN,Communications,-5480
FIN,Financial Services,-8594
FIN,Real Estate,-40493
FIN,Business Services,-4646
FIN,Public Services,-31468
FIN,Education,-21327
FIN,Health,-45188
FIN,Other Services,-20433
FIN,Private Households,-186
RoW,Agriculture,-124141865683
RoW,Mining,-178737204399
RoW,Food,-298994089915
RoW,Textiles,-305340436537
RoW,Leather,-76361789938
RoW,Wood,-24713043450
RoW,Paper,-103736010531
RoW,Fuel,-219748082378
RoW,Chemicals,-567352062882
RoW,Plastics,-146714681417
RoW,Minerals,-77007227698
RoW,Metals,-533296241722
RoW,Machinery,-612253254048
RoW,Electricals,-797364578309
RoW,Vehicles,-740738141824
RoW,Manufacturing,-199858870719
RoW,Utilities,-458494602523
RoW,Construction,-231467382573
RoW,Vehicle Trade,-203598537220
RoW,Wholesale Trade,-192710890814
RoW,Retail Trade,-361750165640
RoW,Hospitality,-2460642211741
